ARP5	T	79913	79913	417
ARP5	T	79913	10856	73
ARP5	T	79913	8607	50
ARP5	T	79913	125476	26
ARP5	T	79913	93973	32
ARP5	T	79913	10576	16
ARP5	T	79913	22948	31
ARP5	T	79913	86	16
ARP5	T	79913	7203	16
ARP5	T	79913	11329	23
ARP5	T	79913	60	13
ARP5	T	79913	3304	29
ARP5	T	79913	10574	19
ARP5	T	79913	83444	9
ARP5	T	79913	283899	8
ARP5	T	79913	10694	15
ARP5	T	79913	4798	39
ARP5	T	79913	3312	22
ARP5	T	79913	347733	6
ARP5	T	79913	10383	6
ARP5	T	79913	203068	6
ARP5	T	79913	908	19
ARP5	T	79913	3006	6
ARP5	T	79913	3008	6
ARP5	T	79913	8655	2
ARP5	T	79913	58	11
ARP5	T	79913	9782	13
ARP5	T	79913	10445	7
ARP5	T	79913	7528	5
ARP5	T	79913	4869	12
ARP5	T	79913	8970	2
ARP5	T	79913	51377	4
ARP5	T	79913	3015	2
ARP5	T	79913	1975	6
ARP5	T	79913	54891	10
ARP5	T	79913	6950	8
ARP5	T	79913	4841	7
ARP5	T	79913	10575	13
ARP5	T	79913	84617	5
ARP5	T	79913	10360	1
ARP5	T	79913	9774	11
ARP5	T	79913	29844	13
ARP5	T	79913	2079	4
ARP5	T	79913	8241	8
ARP5	T	79913	26121	7
ARP5	T	79913	8971	1
ARP5	T	79913	3148	2
ARP5	T	79913	6421	5
ARP5	T	79913	3191	3
ARP5	T	79913	10927	2
ARP5	T	79913	3178	2
ARP5	T	79913	3306	8
ARP5	T	79913	142	7
ARP5	T	79913	3329	4
ARP5	T	79913	92597	2
ARP5	T	79913	9967	11
ARP5	T	79913	3310	11
ARP5	T	79913	3305	5
ARP5	T	79913	3301	2
ARP5	T	79913	2091	4
ARP5	T	79913	3187	4
ARP5	T	79913	3188	4
ARP5	T	79913	10381	4
ARP5	T	79913	6427	2
ARP5	T	79913	84790	2
ARP5	T	79913	51807	2
ARP5	T	79913	10376	2
ARP5	T	79913	7846	2
ARP5	T	79913	7277	2
ARP5	T	79913	144097	1
ARP5	T	79913	4131	13
ARP5	T	79913	3190	3
ARP5	T	79913	23122	7
ARP5	T	79913	10291	1
ARP5	T	79913	51602	1
ARP5	T	79913	9410	2
ARP5	T	79913	3181	1
ARP5	T	79913	9221	2
ARP5	T	79913	1654	2
ARP5	T	79913	10523	2
ARP5	T	79913	11168	1
ARP5	T	79913	10657	1
ARP5	T	79913	1915	1
ARP5	T	79913	1917	1
ARP5	T	79913	7431	1
ARP5	T	79913	57418	1
ARP5	T	79913	3832	3
ARP5	T	79913	81	2
ARP5	T	79913	87	2
ARP5	T	79913	55920	1
ARP5	T	79913	144455	3
ARP5	T	79913	1655	3
ARP5	T	79913	23012	2
ARP5	T	79913	3185	2
ARP5	T	79913	1938	1
ARP5	T	79913	3309	1
ARP5	T	79913	9188	1
ARP5	T	79913	2316	6
